config,ic_size,dc_size,suite,name,score,units,instructions,cycles,ipc
IC8w_DC8w,4k,4k,NPB,LU,2.90,Mop/s,200309841,871420131,0.2299
IC8w_DC8w,4k,4k,UnixBench,Arithmetic_Overhead,22610821,lps,96208614,247283502,0.3891
IC8w_DC8w,4k,4k,UnixBench,Arithmetic_Register,659630,lps,140985970,247621491,0.5694
IC8w_DC8w,4k,4k,UnixBench,Arithmetic_Short,658870,lps,140827136,247393764,0.5692
IC8w_DC8w,4k,4k,UnixBench,Arithmetic_Int,659494,lps,140949675,247513074,0.5695
IC8w_DC8w,4k,4k,UnixBench,Dhrystone,259701,lps,81365206,181643007,0.4479
IC8w_DC8w,4k,4k,UnixBench,Arithmetic_Double,659159,lps,140876933,247313217,0.5696
IC8w_DC8w,4k,4k,UnixBench,Whetstone,19.467,MWIPS,103496380,251617923,0.4113
IC8w_DC8w,4k,4k,UnixBench,Syscall_Mix,23271,lps,44262251,247501671,0.1788
IC8w_DC8w,4k,4k,UnixBench,Syscall_GetPID,203357,lps,55161946,244941869,0.2252
IC8w_DC8w,4k,4k,UnixBench,Syscall_Exec,20,lps,2544173,21471397,0.1185
IC8w_DC8w,4k,4k,UnixBench,Pipe_Throughput,8829,lps,34697801,247612404,0.1401
IC8w_DC8w,4k,4k,UnixBench,Context_Switching,812,lps,13757750,117591666,0.1170
IC16w_DC16w,4k,4k,NPB,EP,0.12,Mop/s,2091523816,7036026284,0.2973
IC16w_DC16w,4k,4k,NPB,IS,0.46,Mop/s,7564329,35339680,0.2140
IC16w_DC16w,4k,4k,NPB,CG,0.78,Mop/s,355442919,2106219638,0.1688
IC16w_DC16w,4k,4k,NPB,MG,1.07,Mop/s,33921382,175048850,0.1938
IC16w_DC16w,4k,4k,NPB,FT,1.22,Mop/s,585170063,3607840145,0.1622
IC16w_DC16w,4k,4k,NPB,BT,2.14,Mop/s,549866599,2635614313,0.2086
IC16w_DC16w,4k,4k,NPB,SP,1.23,Mop/s,356709759,1945877896,0.1833
IC16w_DC16w,4k,4k,NPB,LU,2.94,Mop/s,200110584,861619416,0.2322
IC16w_DC16w,4k,4k,UnixBench,Arithmetic_Overhead,22686553,lps,96496639,247845973,0.3893
IC16w_DC16w,4k,4k,UnixBench,Arithmetic_Register,658456,lps,140747822,247415680,0.5689
IC16w_DC16w,4k,4k,UnixBench,Arithmetic_Short,658062,lps,140667801,247320868,0.5688
IC16w_DC16w,4k,4k,UnixBench,Arithmetic_Int,657744,lps,140610191,247192235,0.5688
IC16w_DC16w,4k,4k,UnixBench,Dhrystone,259475,lps,81292064,181441564,0.4480
IC16w_DC16w,4k,4k,UnixBench,Arithmetic_Double,657989,lps,140661034,247274551,0.5688
IC16w_DC16w,4k,4k,UnixBench,Whetstone,19.485,MWIPS,103475445,251539422,0.4114
IC16w_DC16w,4k,4k,UnixBench,Syscall_Mix,24393,lps,46154338,247247810,0.1867
IC16w_DC16w,4k,4k,UnixBench,Syscall_GetPID,186666,lps,51127840,245048027,0.2086
IC16w_DC16w,4k,4k,UnixBench,Syscall_Exec,20,lps,2731511,23096225,0.1183
