config,ic_size,dc_size,suite,name,score,units,instructions,cycles,ipc
BHT8192,4k,4k,UnixBench,Arithmetic_Double,669363,lps,142948014,247862105,0.5767
BHT8192,4k,4k,UnixBench,Whetstone,21.269,MWIPS,113824186,255617255,0.4453
BHT8192,4k,4k,UnixBench,Syscall_Mix,23072,lps,43948164,247655527,0.1775
BHT8192,4k,4k,UnixBench,Syscall_GetPID,207623,lps,56141274,246409758,0.2278
BHT8192,4k,4k,UnixBench,Syscall_Exec,21,lps,2669101,21416715,0.1246
BHT8192,4k,4k,UnixBench,Pipe_Throughput,9970,lps,38362200,247869552,0.1548
BHT8192,4k,4k,UnixBench,Context_Switching,1005,lps,14649034,117817690,0.1243
BHT1024,4k,4k,NPB,EP,0.12,Mop/s,2083153803,6686493479,0.3115
BHT1024,4k,4k,NPB,IS,0,-,0,0,0
BHT1024,4k,4k,NPB,CG,0.79,Mop/s,354964010,2087880139,0.1700
BHT1024,4k,4k,NPB,MG,1.08,Mop/s,33894683,173577130,0.1953
BHT1024,4k,4k,NPB,FT,1.21,Mop/s,585408606,3627462513,0.1614
BHT1024,4k,4k,NPB,BT,2.18,Mop/s,548699540,2588924851,0.2119
BHT1024,4k,4k,NPB,SP,1.24,Mop/s,356340203,1933339868,0.1843
BHT1024,4k,4k,NPB,LU,2.95,Mop/s,199996283,858534004,0.2330
BHT1024,4k,4k,UnixBench,Arithmetic_Overhead,22900854,lps,97351333,247586691,0.3932
BHT1024,4k,4k,UnixBench,Arithmetic_Register,667263,lps,142546711,247526523,0.5759
BHT1024,4k,4k,UnixBench,Arithmetic_Short,666545,lps,142393227,247599872,0.5751
BHT1024,4k,4k,UnixBench,Arithmetic_Int,667754,lps,142634173,247649822,0.5760
BHT1024,4k,4k,UnixBench,Dhrystone,269193,lps,84273768,185726757,0.4538
BHT1024,4k,4k,UnixBench,Arithmetic_Double,667577,lps,142602809,247586115,0.5760
BHT1024,4k,4k,UnixBench,Whetstone,21.222,MWIPS,113853803,255973264,0.4448
BHT1024,4k,4k,UnixBench,Syscall_Mix,24478,lps,46301918,247342288,0.1872
BHT1024,4k,4k,UnixBench,Syscall_GetPID,202566,lps,54928777,246060008,0.2232
BHT1024,4k,4k,UnixBench,Syscall_Exec,21,lps,2560719,20854671,0.1228
BHT1024,4k,4k,UnixBench,Pipe_Throughput,9937,lps,38269172,247647486,0.1545
BHT1024,4k,4k,UnixBench,Context_Switching,976,lps,14297343,117503737,0.1217
BHT128,4k,4k,NPB,EP,0.12,Mop/s,2083911729,6722387205,0.3100
BHT128,4k,4k,NPB,IS,0,-,0,0,0
BHT128,4k,4k,NPB,CG,0.79,Mop/s,355076710,2092312976,0.1697
BHT128,4k,4k,NPB,MG,1.08,Mop/s,33893943,173894265,0.1949
BHT128,4k,4k,NPB,FT,1.20,Mop/s,585718790,3642601548,0.1608
BHT128,4k,4k,NPB,BT,2.17,Mop/s,549083494,2603930212,0.2109
BHT128,4k,4k,NPB,SP,1.24,Mop/s,356389195,1934252041,0.1843
BHT128,4k,4k,NPB,LU,2.93,Mop/s,200033763,862861649,0.2318
BHT128,4k,4k,UnixBench,Arithmetic_Overhead,22781784,lps,96863770,247547762,0.3913
BHT128,4k,4k,UnixBench,Arithmetic_Register,662093,lps,141480305,247368450,0.5719
BHT128,4k,4k,UnixBench,Arithmetic_Short,661772,lps,141410559,247331047,0.5717
BHT128,4k,4k,UnixBench,Arithmetic_Int,663497,lps,141754807,247493895,0.5728
BHT128,4k,4k,UnixBench,Dhrystone,263869,lps,82670113,183726574,0.4500
BHT128,4k,4k,UnixBench,Arithmetic_Double,664553,lps,141960168,247691047,0.5731
BHT128,4k,4k,UnixBench,Whetstone,21.028,MWIPS,113937341,258268193,0.4412
BHT128,4k,4k,UnixBench,Syscall_Mix,23788,lps,45130003,247384396,0.1824
BHT128,4k,4k,UnixBench,Syscall_GetPID,210599,lps,56931413,245224404,0.2322
BHT128,4k,4k,UnixBench,Syscall_Exec,20,lps,2584894,21594769,0.1197
BHT128,4k,4k,UnixBench,Pipe_Throughput,9321,lps,36293243,247313364,0.1468
BHT128,4k,4k,UnixBench,Context_Switching,933,lps,14643058,124896293,0.1172
BHT16384,4k,4k,NPB,EP,0.12,Mop/s,2082159521,6664840317,0.3124
BHT16384,4k,4k,NPB,IS,0.47,Mop/s,7545502,34615760,0.2180
BHT16384,4k,4k,NPB,CG,0.80,Mop/s,354443557,2071552710,0.1711
BHT16384,4k,4k,NPB,MG,1.09,Mop/s,33839578,171952374,0.1968
BHT16384,4k,4k,NPB,FT,1.22,Mop/s,584616584,3605513812,0.1621
BHT16384,4k,4k,NPB,BT,2.20,Mop/s,548121864,2573846770,0.2130
BHT16384,4k,4k,NPB,SP,1.25,Mop/s,355834672,1917744909,0.1855
BHT16384,4k,4k,NPB,LU,2.97,Mop/s,199798188,853229781,0.2342
BHT16384,4k,4k,UnixBench,Arithmetic_Overhead,22982404,lps,97673102,247903881,0.3940
BHT16384,4k,4k,UnixBench,Arithmetic_Register,667332,lps,142555742,247678809,0.5756
BHT16384,4k,4k,UnixBench,Arithmetic_Short,669144,lps,142902785,247771641,0.5768
BHT16384,4k,4k,UnixBench,Arithmetic_Int,667518,lps,142583398,247661432,0.5757
BHT16384,4k,4k,UnixBench,Dhrystone,269455,lps,84323841,185116088,0.4555
BHT16384,4k,4k,UnixBench,Arithmetic_Double,667941,lps,142666303,247770176,0.5758
BHT16384,4k,4k,UnixBench,Whetstone,21.289,MWIPS,113838243,255518820,0.4455
BHT16384,4k,4k,UnixBench,Syscall_Mix,23924,lps,45365442,247509317,0.1833
BHT16384,4k,4k,UnixBench,Syscall_GetPID,190044,lps,51896335,245186449,0.2117
BHT16384,4k,4k,UnixBench,Syscall_Exec,22,lps,2677596,21281522,0.1258
